step,t_hour,思明区
1,0.25,0.000225
2,0.5,0.000565
3,0.75,0.000824
4,1.0,0.00097
5,1.25,0.00109
6,1.5,0.001271
7,1.75,0.001505
8,2.0,0.001823
9,2.25,0.00223
10,2.5,0.002829
11,2.75,0.00351
12,3.0,0.004363
13,3.25,0.00551
14,3.5,0.006851
15,3.75,0.008557
16,4.0,0.01055
17,4.25,0.01287
18,4.5,0.015415
19,4.75,0.01818
20,5.0,0.021152
21,5.25,0.024304
22,5.5,0.027615
23,5.75,0.031068
24,6.0,0.034663
25,6.25,0.038454
26,6.5,0.042406
27,6.75,0.046561
28,7.0,0.050831
29,7.25,0.055213
30,7.5,0.059732
31,7.75,0.064399
32,8.0,0.069209
33,8.25,0.073968
34,8.5,0.07887
35,8.75,0.083747
36,9.0,0.08885
37,9.25,0.094089
38,9.5,0.099407
39,9.75,0.104806
