step,t_hour,思明区
1,0.25,0.000271
2,0.5,0.000466
3,0.75,0.000604
4,1.0,0.000665
5,1.25,0.000688
6,1.5,0.000785
7,1.75,0.00094
8,2.0,0.001133
9,2.25,0.001393
10,2.5,0.001745
11,2.75,0.002147
12,3.0,0.002664
13,3.25,0.003318
14,3.5,0.004121
15,3.75,0.005083
16,4.0,0.0062
17,4.25,0.00748
18,4.5,0.008917
19,4.75,0.010506
20,5.0,0.012244
21,5.25,0.014131
22,5.5,0.016166
23,5.75,0.018323
24,6.0,0.020627
25,6.25,0.023114
26,6.5,0.025751
27,6.75,0.028524
28,7.0,0.031427
29,7.25,0.034469
30,7.5,0.03765
31,7.75,0.040954
32,8.0,0.044378
33,8.25,0.047803
34,8.5,0.051354
35,8.75,0.054921
36,9.0,0.058703
37,9.25,0.062606
38,9.5,0.066609
39,9.75,0.070743
